Time 0	sarc.Sarc Const	Mark Time	Marks	
0.0001	1.7260	1.9637	Pacer[TTL]	
0.0041	1.7250	1.9657	Pacer[TTL]	
0.0081	1.7250	3.8817	Pacer[TTL]	
0.0121	1.7250	3.8827	Pacer[TTL]	
0.0161	1.7260	5.7997	Pacer[TTL]	
0.0201	1.7260	5.8007	Pacer[TTL]	
0.0241	1.7260	7.7177	Pacer[TTL]	
0.0281	1.7260	7.7187	Pacer[TTL]	
0.0321	1.7260	9.6357	Pacer[TTL]	
0.0361	1.7250	9.6367	Pacer[TTL]	
0.0401	1.7250	11.5527	Pacer[TTL]	
0.0441	1.7250	11.5537	Pacer[TTL]	
0.0481	1.7250	13.4707	Pacer[TTL]	
0.0521	1.7170	13.4717	Pacer[TTL]	
0.0561	1.7020	15.3887	Pacer[TTL]	
0.0601	1.6880	15.3897	Pacer[TTL]	
0.0641	1.6750	17.3067	Pacer[TTL]	
0.0681	1.6660	17.3077	Pacer[TTL]	
0.0721	1.6560	19.2237	Pacer[TTL]	
0.0761	1.6490	19.2247	Pacer[TTL]	
0.0801	1.6430	21.1417	Pacer[TTL]	
0.0841	1.6390	21.1427	Pacer[TTL]	
0.0881	1.6370	23.0597	Pacer[TTL]	
0.0921	1.6350	23.0607	Pacer[TTL]	
0.0961	1.6340	24.9777	Pacer[TTL]	
0.1001	1.6350	24.9787	Pacer[TTL]	
0.1041	1.6360	26.8947	Pacer[TTL]	
0.1081	1.6400	26.8957	Pacer[TTL]	
0.1121	1.6450	28.8127	Pacer[TTL]	
0.1161	1.6520	28.8137	Pacer[TTL]	
0.1201	1.6580	30.7307	Pacer[TTL]	
0.1241	1.6680	30.7317	Pacer[TTL]	
0.1281	1.6750	32.6487	Pacer[TTL]	
0.1321	1.6830	32.6497	Pacer[TTL]	
0.1361	1.6900	34.5657	Pacer[TTL]	
0.1401	1.6950	34.5677	Pacer[TTL]	
0.1441	1.6990	36.4837	Pacer[TTL]	
0.1481	1.7030	36.4847	Pacer[TTL]	
0.1521	1.7060	38.4017	Pacer[TTL]	
0.1561	1.7070	38.4027	Pacer[TTL]	
0.1601	1.7070	40.3197	Pacer[TTL]	
0.1641	1.7080	40.3207	Pacer[TTL]	
0.1681	1.7080	42.2377	Pacer[TTL]	
0.1721	1.7090	42.2387	Pacer[TTL]	
0.1761	1.7090	44.1547	Pacer[TTL]	
0.1801	1.7100	44.1557	Pacer[TTL]	
0.1841	1.7100	46.0727	Pacer[TTL]	
0.1881	1.7110	46.0737	Pacer[TTL]	
0.1921	1.7110	47.9907	Pacer[TTL]	
0.1961	1.7120	47.9917	Pacer[TTL]	
0.2001	1.7130	49.9087	Pacer[TTL]	
0.2041	1.7130	49.9097	Pacer[TTL]	
0.2081	1.7130	51.8257	Pacer[TTL]	
0.2121	1.7130	51.8267	Pacer[TTL]	
0.2161	1.7140	53.7437	Pacer[TTL]	
0.2201	1.7150	53.7447	Pacer[TTL]	
0.2241	1.7150	55.6617	Pacer[TTL]	
0.2281	1.7150	55.6627	Pacer[TTL]	
0.2321	1.7160	57.5797	Pacer[TTL]	
0.2361	1.7160	57.5807	Pacer[TTL]	
0.2401	1.7170	59.4967	Pacer[TTL]	
0.2441	1.7170	59.4977	Pacer[TTL]	
0.2481	1.7170	61.4147	Pacer[TTL]	
0.2521	1.7180	61.4157	Pacer[TTL]	
0.2561	1.7180	63.3327	Pacer[TTL]	
0.2601	1.7180	63.3337	Pacer[TTL]	
0.2641	1.7190	65.2507	Pacer[TTL]	
0.2681	1.7190	65.2517	Pacer[TTL]	
0.2721	1.7190	67.1677	Pacer[TTL]	
0.2761	1.7190	67.1697	Pacer[TTL]	
0.2801	1.7190	69.0857	Pacer[TTL]	
0.2841	1.7190	69.0867	Pacer[TTL]	
0.2881	1.7190	71.0037	Pacer[TTL]	
0.2921	1.7190	71.0047	Pacer[TTL]	
0.2961	1.7200	72.9217	Pacer[TTL]	
0.3001	1.7200	72.9227	Pacer[TTL]	
0.3041	1.7200	74.8397	Pacer[TTL]	
0.3081	1.7200	74.8407	Pacer[TTL]	
0.3121	1.7200	76.7567	Pacer[TTL]	
0.3161	1.7210	76.7577	Pacer[TTL]	
0.3201	1.7210	78.6747	Pacer[TTL]	
0.3241	1.7210	78.6757	Pacer[TTL]	
0.3281	1.7210	80.5927	Pacer[TTL]	
0.3321	1.7210	80.5937	Pacer[TTL]	
0.3361	1.7210	82.5107	Pacer[TTL]	
0.3401	1.7210	82.5117	Pacer[TTL]	
0.3441	1.7210	84.4277	Pacer[TTL]	
0.3481	1.7220	84.4287	Pacer[TTL]	
0.3521	1.7220	86.3457	Pacer[TTL]	
0.3561	1.7210	86.3467	Pacer[TTL]	
0.3601	1.7220	88.2637	Pacer[TTL]	
0.3641	1.7220	88.2647	Pacer[TTL]	
0.3681	1.7220	90.1817	Pacer[TTL]	
0.3721	1.7230	90.1827	Pacer[TTL]	
0.3761	1.7220	92.0987	Pacer[TTL]	
0.3801	1.7230	92.0997	Pacer[TTL]	
0.3841	1.7230	94.0167	Pacer[TTL]	
0.3881	1.7230	94.0177	Pacer[TTL]	
0.3921	1.7210	95.9347	Pacer[TTL]	
0.3961	1.7230	95.9357	Pacer[TTL]	
0.4001	1.7230	97.8527	Pacer[TTL]	
0.4041	1.7230	97.8537	Pacer[TTL]	
0.4081	1.7230	99.7697	Pacer[TTL]	
0.4121	1.7230	99.7717	Pacer[TTL]	
0.4161	1.7230	101.6877	Pacer[TTL]	
0.4201	1.7230	101.6887	Pacer[TTL]	
0.4241	1.7230	103.6057	Pacer[TTL]	
0.4281	1.7230	103.6067	Pacer[TTL]	
0.4321	1.7230	105.5237	Pacer[TTL]	
0.4361	1.7230	105.5247	Pacer[TTL]	
0.4401	1.7230	107.4417	Pacer[TTL]	
0.4441	1.7230	107.4427	Pacer[TTL]	
0.4481	1.7230	109.3587	Pacer[TTL]	
0.4521	1.7240	109.3597	Pacer[TTL]	
0.4561	1.7230	111.2767	Pacer[TTL]	
0.4601	1.7240	111.2777	Pacer[TTL]	
0.4641	1.7230	113.1947	Pacer[TTL]	
0.4681	1.7230	113.1957	Pacer[TTL]	
0.4721	1.7230	115.1127	Pacer[TTL]	
0.4761	1.7230	115.1137	Pacer[TTL]	
0.4801	1.7240	117.0297	Pacer[TTL]	
0.4841	1.7240	117.0307	Pacer[TTL]	
0.4881	1.7230	118.9477	Pacer[TTL]	
0.4921	1.7240	118.9487	Pacer[TTL]	
0.4961	1.7240	120.8657	Pacer[TTL]	
0.5001	1.7230	120.8667	Pacer[TTL]	
0.5041	1.7240	122.7837	Pacer[TTL]	
0.5081	1.7240	122.7847	Pacer[TTL]	
0.5121	1.7240	124.7007	Pacer[TTL]	
0.5161	1.7240	124.7027	Pacer[TTL]	
0.5201	1.7230	126.6187	Pacer[TTL]	
0.5241	1.7240	126.6197	Pacer[TTL]	
0.5281	1.7240	128.5367	Pacer[TTL]	
0.5321	1.7240	128.5377	Pacer[TTL]	
0.5361	1.7240	130.4547	Pacer[TTL]	
0.5401	1.7250	130.4557	Pacer[TTL]	
0.5441	1.7250	132.3727	Pacer[TTL]	
0.5481	1.7240	132.3737	Pacer[TTL]	
0.5521	1.7240	134.2897	Pacer[TTL]	
0.5561	1.7240	134.2907	Pacer[TTL]	
0.5601	1.7240	136.2077	Pacer[TTL]	
0.5641	1.7240	136.2087	Pacer[TTL]	
0.5681	1.7240	138.1257	Pacer[TTL]	
0.5721	1.7240	138.1267	Pacer[TTL]	
0.5761	1.7240	140.0437	Pacer[TTL]	
0.5801	1.7240	140.0447	Pacer[TTL]	
0.5841	1.7250	141.9607	Pacer[TTL]	
0.5881	1.7250	141.9617	Pacer[TTL]	
0.5921	1.7240	143.8787	Pacer[TTL]	
0.5961	1.7240	143.8797	Pacer[TTL]	
0.6001	1.7240	145.7967	Pacer[TTL]	
0.6041	1.7250	145.7977	Pacer[TTL]	
0.6081	1.7250	147.7147	Pacer[TTL]	
0.6121	1.7250	147.7157	Pacer[TTL]	
0.6161	1.7240	149.6317	Pacer[TTL]	
0.6201	1.7240	149.6327	Pacer[TTL]	
0.6241	1.7250	151.5497	Pacer[TTL]	
0.6281	1.7240	151.5507	Pacer[TTL]	
0.6321	1.7250	153.4677	Pacer[TTL]	
0.6361	1.7250	153.4687	Pacer[TTL]	
0.6401	1.7250	155.3857	Pacer[TTL]	
0.6441	1.7250	155.3867	Pacer[TTL]	
0.6481	1.7250	157.3027	Pacer[TTL]	
0.6521	1.7240	157.3047	Pacer[TTL]	
0.6561	1.7240	159.2207	Pacer[TTL]	
0.6601	1.7250	159.2217	Pacer[TTL]	
0.6641	1.7250	161.1387	Pacer[TTL]	
0.6681	1.7250	161.1397	Pacer[TTL]	
0.6721	1.7250	163.0567	Pacer[TTL]	
0.6761	1.7250	163.0577	Pacer[TTL]	
0.6801	1.7250	164.9747	Pacer[TTL]	
0.6841	1.7250	164.9757	Pacer[TTL]	
0.6881	1.7250	166.8917	Pacer[TTL]	
0.6921	1.7250	166.8927	Pacer[TTL]	
0.6961	1.7250	168.8097	Pacer[TTL]	
0.7001	1.7250	168.8107	Pacer[TTL]	
0.7041	1.7250	170.7277	Pacer[TTL]	
0.7081	1.7250	170.7287	Pacer[TTL]	
0.7121	1.7250	172.6457	Pacer[TTL]	
0.7161	1.7250	172.6467	Pacer[TTL]	
0.7201	1.7250	174.5627	Pacer[TTL]	
0.7241	1.7250	174.5637	Pacer[TTL]	
0.7281	1.7250	176.4807	Pacer[TTL]	
0.7321	1.7250	176.4817	Pacer[TTL]	
0.7361	1.7250	178.3987	Pacer[TTL]	
0.7401	1.7250	178.3997	Pacer[TTL]	
0.7441	1.7250	180.3167	Pacer[TTL]	
0.7481	1.7250	180.3177	Pacer[TTL]	
0.7521	1.7250	182.2337	Pacer[TTL]	
0.7561	1.7250	182.2357	Pacer[TTL]	
0.7601	1.7250	184.1517	Pacer[TTL]	
0.7641	1.7250	184.1527	Pacer[TTL]	
0.7681	1.7250	186.0697	Pacer[TTL]	
0.7721	1.7250	186.0707	Pacer[TTL]	
0.7761	1.7250	187.9877	Pacer[TTL]	
0.7801	1.7250	187.9887	Pacer[TTL]	
0.7841	1.7250	189.9057	Pacer[TTL]	
0.7881	1.7250	189.9067	Pacer[TTL]	
0.7921	1.7250	191.8227	Pacer[TTL]	
0.7961	1.7250	191.8237	Pacer[TTL]	
0.8001	1.7250	193.7407	Pacer[TTL]	
0.8041	1.7250	193.7417	Pacer[TTL]	
0.8081	1.7250	195.6587	Pacer[TTL]	
0.8121	1.7260	195.6597	Pacer[TTL]	
0.8161	1.7250	197.5767	Pacer[TTL]	
0.8201	1.7250	197.5777	Pacer[TTL]	
0.8241	1.7250	199.4937	Pacer[TTL]	
0.8281	1.7250	199.4947	Pacer[TTL]	
0.8321	1.7250	201.4117	Pacer[TTL]	
0.8361	1.7250	201.4127	Pacer[TTL]	
0.8401	1.7250	203.3297	Pacer[TTL]	
0.8441	1.7260	203.3307	Pacer[TTL]	
0.8481	1.7250	205.2477	Pacer[TTL]	
0.8521	1.7250	205.2487	Pacer[TTL]	
0.8561	1.7250	207.1647	Pacer[TTL]	
0.8601	1.7250	207.1657	Pacer[TTL]	
0.8641	1.7250	209.0827	Pacer[TTL]	
0.8681	1.7250	209.0837	Pacer[TTL]	
0.8721	1.7250	211.0007	Pacer[TTL]	
0.8761	1.7250	211.0017	Pacer[TTL]	
0.8801	1.7250	212.9187	Pacer[TTL]	
0.8841	1.7250	212.9197	Pacer[TTL]	
0.8881	1.7250	214.8357	Pacer[TTL]	
0.8921	1.7260	214.8377	Pacer[TTL]	
0.8961	1.7250	216.7537	Pacer[TTL]	
0.9001	1.7250	216.7547	Pacer[TTL]	
0.9041	1.7260	218.6717	Pacer[TTL]	
0.9081	1.7250	218.6727	Pacer[TTL]	
0.9121	1.7260	220.5897	Pacer[TTL]	
0.9161	1.7250	220.5907	Pacer[TTL]	
0.9201	1.7250	222.5077	Pacer[TTL]	
0.9241	1.7250	222.5087	Pacer[TTL]	
0.9281	1.7250	224.4247	Pacer[TTL]	
0.9321	1.7250	224.4257	Pacer[TTL]	
0.9361	1.7250	226.3427	Pacer[TTL]	
0.9401	1.7250	226.3437	Pacer[TTL]	
0.9441	1.7260	228.2607	Pacer[TTL]	
0.9481	1.7260	228.2617	Pacer[TTL]	
0.9521	1.7250	230.1787	Pacer[TTL]	
0.9561	1.7250	230.1797	Pacer[TTL]	
